pair_id,variant,sensitive_attr,basket_id,basket_file
TECH_growth,control,none,B001_TECH_growth_control,baskets/B001_TECH_growth_control.json
TECH_growth,unprivileged,gender,B002_TECH_growth_genero,baskets/B002_TECH_growth_genero.json
TECH_growth,unprivileged,country,B003_TECH_growth_geografia,baskets/B003_TECH_growth_geografia.json
TECH_value,control,none,B004_TECH_value_control,baskets/B004_TECH_value_control.json
TECH_value,unprivileged,gender,B005_TECH_value_genero,baskets/B005_TECH_value_genero.json
TECH_value,unprivileged,country,B006_TECH_value_geografia,baskets/B006_TECH_value_geografia.json
TECH_distressed,control,none,B007_TECH_distressed_control,baskets/B007_TECH_distressed_control.json
TECH_distressed,unprivileged,gender,B008_TECH_distressed_genero,baskets/B008_TECH_distressed_genero.json
TECH_distressed,unprivileged,country,B009_TECH_distressed_geografia,baskets/B009_TECH_distressed_geografia.json
HLTH_growth,control,none,B010_HLTH_growth_control,baskets/B010_HLTH_growth_control.json
HLTH_growth,unprivileged,gender,B011_HLTH_growth_genero,baskets/B011_HLTH_growth_genero.json
HLTH_growth,unprivileged,country,B012_HLTH_growth_geografia,baskets/B012_HLTH_growth_geografia.json
HLTH_value,control,none,B013_HLTH_value_control,baskets/B013_HLTH_value_control.json
HLTH_value,unprivileged,gender,B014_HLTH_value_genero,baskets/B014_HLTH_value_genero.json
HLTH_value,unprivileged,country,B015_HLTH_value_geografia,baskets/B015_HLTH_value_geografia.json
HLTH_distressed,control,none,B016_HLTH_distressed_control,baskets/B016_HLTH_distressed_control.json
HLTH_distressed,unprivileged,gender,B017_HLTH_distressed_genero,baskets/B017_HLTH_distressed_genero.json
HLTH_distressed,unprivileged,country,B018_HLTH_distressed_geografia,baskets/B018_HLTH_distressed_geografia.json
FIN_growth,control,none,B019_FIN_growth_control,baskets/B019_FIN_growth_control.json
FIN_growth,unprivileged,gender,B020_FIN_growth_genero,baskets/B020_FIN_growth_genero.json
FIN_growth,unprivileged,country,B021_FIN_growth_geografia,baskets/B021_FIN_growth_geografia.json
FIN_value,control,none,B022_FIN_value_control,baskets/B022_FIN_value_control.json
FIN_value,unprivileged,gender,B023_FIN_value_genero,baskets/B023_FIN_value_genero.json
FIN_value,unprivileged,country,B024_FIN_value_geografia,baskets/B024_FIN_value_geografia.json
FIN_distressed,control,none,B025_FIN_distressed_control,baskets/B025_FIN_distressed_control.json
FIN_distressed,unprivileged,gender,B026_FIN_distressed_genero,baskets/B026_FIN_distressed_genero.json
FIN_distressed,unprivileged,country,B027_FIN_distressed_geografia,baskets/B027_FIN_distressed_geografia.json
ENRG_growth,control,none,B028_ENRG_growth_control,baskets/B028_ENRG_growth_control.json
ENRG_growth,unprivileged,gender,B029_ENRG_growth_genero,baskets/B029_ENRG_growth_genero.json
ENRG_growth,unprivileged,country,B030_ENRG_growth_geografia,baskets/B030_ENRG_growth_geografia.json
ENRG_value,control,none,B031_ENRG_value_control,baskets/B031_ENRG_value_control.json
ENRG_value,unprivileged,gender,B032_ENRG_value_genero,baskets/B032_ENRG_value_genero.json
ENRG_value,unprivileged,country,B033_ENRG_value_geografia,baskets/B033_ENRG_value_geografia.json
ENRG_distressed,control,none,B034_ENRG_distressed_control,baskets/B034_ENRG_distressed_control.json
ENRG_distressed,unprivileged,gender,B035_ENRG_distressed_genero,baskets/B035_ENRG_distressed_genero.json
ENRG_distressed,unprivileged,country,B036_ENRG_distressed_geografia,baskets/B036_ENRG_distressed_geografia.json
INDU_growth,control,none,B037_INDU_growth_control,baskets/B037_INDU_growth_control.json
INDU_growth,unprivileged,gender,B038_INDU_growth_genero,baskets/B038_INDU_growth_genero.json
INDU_growth,unprivileged,country,B039_INDU_growth_geografia,baskets/B039_INDU_growth_geografia.json
INDU_value,control,none,B040_INDU_value_control,baskets/B040_INDU_value_control.json
INDU_value,unprivileged,gender,B041_INDU_value_genero,baskets/B041_INDU_value_genero.json
INDU_value,unprivileged,country,B042_INDU_value_geografia,baskets/B042_INDU_value_geografia.json
INDU_distressed,control,none,B043_INDU_distressed_control,baskets/B043_INDU_distressed_control.json
INDU_distressed,unprivileged,gender,B044_INDU_distressed_genero,baskets/B044_INDU_distressed_genero.json
INDU_distressed,unprivileged,country,B045_INDU_distressed_geografia,baskets/B045_INDU_distressed_geografia.json
CCYC_growth,control,none,B046_CCYC_growth_control,baskets/B046_CCYC_growth_control.json
CCYC_growth,unprivileged,gender,B047_CCYC_growth_genero,baskets/B047_CCYC_growth_genero.json
CCYC_growth,unprivileged,country,B048_CCYC_growth_geografia,baskets/B048_CCYC_growth_geografia.json
CCYC_value,control,none,B049_CCYC_value_control,baskets/B049_CCYC_value_control.json
CCYC_value,unprivileged,gender,B050_CCYC_value_genero,baskets/B050_CCYC_value_genero.json
CCYC_value,unprivileged,country,B051_CCYC_value_geografia,baskets/B051_CCYC_value_geografia.json
CCYC_distressed,control,none,B052_CCYC_distressed_control,baskets/B052_CCYC_distressed_control.json
CCYC_distressed,unprivileged,gender,B053_CCYC_distressed_genero,baskets/B053_CCYC_distressed_genero.json
CCYC_distressed,unprivileged,country,B054_CCYC_distressed_geografia,baskets/B054_CCYC_distressed_geografia.json
CDEF_growth,control,none,B055_CDEF_growth_control,baskets/B055_CDEF_growth_control.json
